Time,Extension,Load
0.0,0.0,0.00988
0.005,0.0,0.01549
0.01,0.0,0.0168
0.015,0.0,0.01724
0.02,2e-05,0.01314
0.025,6e-05,0.00893
0.03,0.00015,0.00442
0.035,0.00027,-0.00405
0.04,0.00044,-0.01064
0.045,0.00064,-0.01827
0.05,0.00088,-0.02409
0.055,0.00117,-0.02457
0.06,0.0015,-0.0235
0.065,0.0019,-0.02124
0.07,0.00237,-0.01547
0.075,0.00293,-0.00831
0.08,0.0036,-0.00313
0.085,0.00438,0.00113
0.09,0.00529,0.00947
0.095,0.00634,0.01882
0.1,0.00753,0.02207
0.105,0.00888,0.02504
0.11,0.01038,0.03007
0.115,0.01204,0.03254
0.12,0.01383,0.03521
0.125,0.01574,0.02879
0.13,0.01774,0.02303
0.135,0.01981,0.02335
0.14,0.02191,0.03391
0.145,0.02401,0.04393
0.15,0.02609,0.04744
0.155,0.02812,0.04968
0.16,0.03007,0.04677
0.165,0.03191,0.03911
0.17,0.03363,0.02724
0.175,0.03523,0.01729
0.18,0.03671,0.0135
0.185,0.03807,0.01764
0.19,0.03934,0.02319
0.195,0.04054,0.02302
0.2,0.04169,0.01797
0.205,0.04282,0.01346
0.21,0.04394,0.01287
0.215,0.04507,0.01415
0.22,0.04624,0.01414
0.225,0.04744,0.0125
0.23,0.04867,0.0195
0.235,0.04995,0.02618
0.24,0.05126,0.03384
0.245,0.05261,0.03704
0.25,0.05399,0.04007
0.255,0.05538,0.04445
0.26,0.05678,0.04353
0.265,0.05818,0.03829
0.27,0.05957,0.03256
0.275,0.06092,0.02834
0.28,0.06223,0.02612
0.285,0.06349,0.02631
0.29,0.0647,0.02655
0.295,0.06585,0.02017
0.3,0.06696,0.01071
0.305,0.06803,0.00191
0.31,0.06909,-0.00572
0.315,0.07014,-0.01249
0.32,0.0712,-0.01346
0.325,0.07228,-0.01438
0.33,0.0734,-0.00788
0.335,0.07455,-0.0005
0.34,0.07576,0.00455
0.345,0.07701,0.00972
0.35,0.07829,0.00875
0.355,0.07959,0.00774
0.36,0.08092,0.01189
0.365,0.08225,0.01974
0.37,0.08359,0.0189
0.375,0.08492,0.01964
0.38,0.08624,0.01928
0.385,0.08755,0.01941
0.39,0.08884,0.02267
0.395,0.09012,0.02686
0.4,0.09136,0.03262
0.405,0.09258,0.03652
0.41,0.09377,0.0385
0.415,0.09491,0.03727
0.42,0.09601,0.0328
0.425,0.09706,0.03143
0.43,0.09808,0.02586
0.435,0.09907,0.01626
0.44,0.10005,0.00854
0.445,0.10101,0.00829
0.45,0.10199,0.0123
0.455,0.10298,0.01628
0.46,0.104,0.02811
0.465,0.10506,0.04032
0.47,0.10617,0.04698
0.475,0.10733,0.04733
0.48,0.10854,0.04505
0.485,0.1098,0.03934
0.49,0.1111,0.03636
0.495,0.11244,0.03389
0.5,0.11381,0.02962
0.505,0.11521,0.0243
0.51,0.11662,0.0204
0.515,0.11803,0.01876
0.52,0.11944,0.01601
0.525,0.12084,0.01403
0.53,0.1222,0.01088
0.535,0.12353,0.01084
0.54,0.1248,0.01124
0.545,0.12602,0.00908
0.55,0.12719,0.00062
0.555,0.12831,-0.00617
0.56,0.12938,-0.00978
0.565,0.13043,-0.01105
0.57,0.13147,-0.00823
0.575,0.1325,-0.00505
0.58,0.13356,0.00382
0.585,0.13465,0.01854
0.59,0.13577,0.03123
0.595,0.13695,0.03803
0.6,0.13817,0.04384
0.605,0.13944,0.04895
0.61,0.14075,0.04568
0.615,0.14209,0.03727
0.62,0.14344,0.02371
0.625,0.14481,0.01415
0.63,0.14617,0.00997
0.635,0.14752,0.00461
0.64,0.14887,0.00447
0.645,0.15019,0.01189
0.65,0.15149,0.01323
0.655,0.15276,0.00807
0.66,0.154,0.00985
0.665,0.1552,0.00826
0.67,0.15636,0.01394
0.675,0.15747,0.02442
0.68,0.15853,0.03263
0.685,0.15954,0.03455
0.69,0.16053,0.03024
0.695,0.16148,0.02387
0.7,0.16243,0.01243
0.705,0.16338,-0.00225
0.71,0.16434,-0.01701
0.715,0.16533,-0.01765
0.72,0.16635,-0.01543
0.725,0.16743,-0.01387
0.73,0.16855,-0.01642
0.735,0.16973,-0.01431
0.74,0.17096,-0.00413
0.745,0.17223,-0.00192
0.75,0.17355,0.00654
0.755,0.17491,0.00918
0.76,0.17629,0.00733
0.765,0.17768,0.00965
0.77,0.17909,0.00532
0.775,0.1805,0.00093
0.78,0.1819,-0.00163
0.785,0.18328,-0.0029
0.79,0.18463,-0.00347
0.795,0.18594,0.00143
0.8,0.18719,0.00627
0.805,0.1884,0.01409
0.81,0.18955,0.01887
0.815,0.19066,0.01501
0.82,0.19174,0.01215
0.825,0.19279,0.01753
0.83,0.19384,0.02193
0.835,0.1949,0.02539
0.84,0.19598,0.02588
0.845,0.19709,0.01874
0.85,0.19824,0.01131
0.855,0.19944,0.00377
0.86,0.20067,-0.00086
0.865,0.20195,0.00158
0.87,0.20325,0.00263
0.875,0.20457,0.0063
