Time,Extension,Load
0.0,0.0,-0.0304
0.005,0.0,-0.04083
0.01,0.0,-0.03849
0.015,0.0,-0.02837
0.02,2e-05,-0.0193
0.025,6e-05,-0.00765
0.03,0.00015,0.00423
0.035,0.00028,0.01042
0.04,0.00045,0.01017
0.045,0.00067,0.01155
0.05,0.00093,0.01273
0.055,0.00124,0.01069
0.06,0.0016,0.0113
0.065,0.00202,0.02026
0.07,0.00253,0.03239
0.075,0.00314,0.05062
0.08,0.00384,0.05782
0.085,0.00466,0.05262
0.09,0.00558,0.0445
0.095,0.00662,0.04297
0.1,0.00778,0.04276
0.105,0.00906,0.03779
0.11,0.01047,0.03406
0.115,0.01199,0.02493
0.12,0.01364,0.00959
0.125,0.01541,0.00261
0.13,0.01727,-0.00216
0.135,0.01921,-0.00345
0.14,0.0212,0.00374
0.145,0.02323,0.0083
0.15,0.02527,0.00687
0.155,0.02729,0.00186
0.16,0.02927,-0.00115
0.165,0.0312,-0.0014
0.17,0.03304,-0.00176
0.175,0.03479,-0.00087
0.18,0.03643,-4e-05
0.185,0.03796,0.0027
0.19,0.03937,0.00087
0.195,0.04068,-0.0022
0.2,0.0419,-0.00199
0.205,0.04306,0.00129
0.21,0.04417,0.00658
0.215,0.04527,0.00731
0.22,0.04636,0.00309
0.225,0.04746,-0.00579
0.23,0.0486,-0.01609
0.235,0.04977,-0.0223
0.24,0.05098,-0.02161
0.245,0.05223,-0.01652
0.25,0.05353,-0.01266
0.255,0.05485,-0.01186
0.26,0.05621,-0.00844
0.265,0.05758,-0.00707
0.27,0.05897,-0.0077
0.275,0.06036,-0.0105
0.28,0.06175,-0.0099
0.285,0.06311,-0.00936
0.29,0.06444,-0.00321
0.295,0.06573,-0.00335
0.3,0.06697,-0.01436
0.305,0.06816,-0.02112
0.31,0.0693,-0.02509
0.315,0.0704,-0.02438
0.32,0.07148,-0.0206
0.325,0.07253,-0.01616
0.33,0.07359,-0.01258
0.335,0.07466,-0.00839
0.34,0.07576,-0.00222
0.345,0.0769,-0.00099
0.35,0.07808,-0.00477
0.355,0.0793,-0.01013
0.36,0.08058,-0.01149
0.365,0.08189,-0.01865
0.37,0.08322,-0.02658
0.375,0.08458,-0.03386
0.38,0.08594,-0.03474
0.385,0.0873,-0.03137
0.39,0.08864,-0.02097
0.395,0.08998,-0.00772
0.4,0.09129,0.00106
0.405,0.09258,0.01418
0.41,0.09385,0.02048
0.415,0.09508,0.01701
0.42,0.09628,0.0088
0.425,0.09744,0.00942
0.43,0.09855,0.00859
0.435,0.09962,0.00505
0.44,0.10065,0.00137
0.445,0.10164,-0.00544
0.45,0.10261,-0.0078
0.455,0.10357,-0.01051
0.46,0.10453,-0.00923
0.465,0.10551,-0.0009
0.47,0.10651,0.00773
0.475,0.10755,0.0205
0.48,0.10863,0.02823
0.485,0.10976,0.02985
0.49,0.11094,0.03171
0.495,0.11218,0.03556
0.5,0.11346,0.03555
0.505,0.11478,0.02926
0.51,0.11614,0.02134
0.515,0.11752,0.01308
0.52,0.11892,0.00976
0.525,0.12033,0.00892
0.53,0.12175,0.00568
0.535,0.12316,0.00193
0.54,0.12454,0.00356
0.545,0.1259,0.00933
0.55,0.12721,0.01635
0.555,0.12847,0.02388
0.56,0.12967,0.02555
0.565,0.13082,0.02258
0.57,0.13192,0.02716
0.575,0.13299,0.0316
0.58,0.13404,0.03409
0.585,0.13508,0.03246
0.59,0.13613,0.03467
0.595,0.1372,0.03425
0.6,0.1383,0.03308
0.605,0.13944,0.02691
0.61,0.14063,0.01947
0.615,0.14187,0.00983
0.62,0.14315,-0.00322
0.625,0.14445,-0.00912
0.63,0.14578,-0.01162
0.635,0.14711,-0.00671
0.64,0.14845,-0.00134
0.645,0.14979,0.00645
0.65,0.15112,0.01358
0.655,0.15243,0.02005
0.66,0.15373,0.01904
0.665,0.15501,0.01385
0.67,0.15626,0.01381
0.675,0.15748,0.02209
0.68,0.15868,0.02752
0.685,0.15983,0.03105
0.69,0.16095,0.02958
0.695,0.16202,0.02506
0.7,0.16306,0.02354
0.705,0.16407,0.02092
0.71,0.16506,0.0171
0.715,0.16604,0.01452
0.72,0.16702,0.014
0.725,0.16801,0.02027
0.73,0.16903,0.02162
0.735,0.17008,0.02169
0.74,0.17118,0.01927
0.745,0.17232,0.01738
0.75,0.17351,0.02068
0.755,0.17476,0.01876
0.76,0.17605,0.01971
0.765,0.17737,0.02069
0.77,0.17874,0.02108
0.775,0.18013,0.01756
0.78,0.18154,0.01238
0.785,0.18295,0.01428
0.79,0.18437,0.01941
0.795,0.18577,0.02828
0.8,0.18714,0.03095
0.805,0.18847,0.02785
0.81,0.18975,0.02426
0.815,0.19098,0.01822
0.82,0.19215,0.00617
0.825,0.19327,-0.00574
0.83,0.19434,-0.01555
0.835,0.19538,-0.02195
0.84,0.1964,-0.02688
0.845,0.19742,-0.03008
0.85,0.19846,-0.03286
0.855,0.19952,-0.03583
0.86,0.20062,-0.03381
0.865,0.20177,-0.02918
0.87,0.20298,-0.02412
0.875,0.20423,-0.01668
0.88,0.20552,-0.01114
0.885,0.20685,-0.00639
0.89,0.2082,-0.00341
0.895,0.20956,0.00103
0.9,0.21092,-0.00104
0.905,0.21228,-0.0113
0.91,0.21363,-0.02334
0.915,0.21497,-0.0319
0.92,0.21629,-0.03209
0.925,0.21758,-0.02563
0.93,0.21885,-0.02283
0.935,0.22007,-0.02389
0.94,0.22126,-0.02464
0.945,0.2224,-0.01984
0.95,0.2235,-0.01365
0.955,0.22455,-0.00868
0.96,0.22556,-0.00888
0.965,0.22655,-0.00772
0.97,0.22751,-0.00183
0.975,0.22848,0.0046
0.98,0.22945,0.00526
0.985,0.23044,0.0064
0.99,0.23147,0.00627
0.995,0.23253,0.01324
1.0,0.23363,0.01068
1.005,0.23479,0.0092
1.01,0.23599,0.01465
1.015,0.23724,0.01741
1.02,0.23852,0.02261
1.025,0.23984,0.02514
1.03,0.24119,0.02042
1.035,0.24256,0.00687
1.04,0.24394,-0.00767
1.045,0.24533,-0.01596
1.05,0.24671,-0.02381
1.055,0.24808,-0.02335
1.06,0.24942,-0.02364
1.065,0.25073,-0.02128
1.07,0.25199,-0.01305
1.075,0.2532,-0.0076
1.08,0.25436,-0.00973
1.085,0.25547,-0.01769
1.09,0.25655,-0.02513
1.095,0.2576,-0.03252
1.1,0.25864,-0.03994
1.105,0.25968,-0.04051
1.11,0.26075,-0.03116
1.115,0.26184,-0.01931
1.12,0.26297,-0.0108
1.125,0.26415,-0.00037
1.13,0.26538,0.00273
1.135,0.26665,0.00313
1.14,0.26795,0.00571
1.145,0.26929,0.00708
1.15,0.27064,0.01107
1.155,0.27201,0.01383
1.16,0.27337,0.01513
1.165,0.27472,0.01202
1.17,0.27606,0.00724
1.175,0.27739,-0.00103
1.18,0.27869,-0.01087
1.185,0.27997,-0.01745
1.19,0.28121,-0.01942
1.195,0.28241,-0.02792
1.2,0.28357,-0.04046
1.205,0.28468,-0.04773
1.21,0.28575,-0.04516
1.215,0.28678,-0.04291
1.22,0.28777,-0.04481
1.225,0.28874,-0.03772
1.23,0.2897,-0.02669
1.235,0.29066,-0.02097
1.24,0.29162,-0.02177
1.245,0.29261,-0.028
1.25,0.29364,-0.03064
1.255,0.2947,-0.02808
1.26,0.29581,-0.02042
1.265,0.29697,-0.01074
1.27,0.29818,0.00101
1.275,0.29944,0.01127
1.28,0.30073,0.01138
1.285,0.30206,0.00416
1.29,0.30342,0.0005
1.295,0.3048,0.00253
1.3,0.3062,-0.00011
1.305,0.3076,-0.00714
1.31,0.309,-0.00914
1.315,0.31038,-0.00638
1.32,0.31173,-0.00534
1.325,0.31304,0.00226
1.33,0.3143,0.00608
1.335,0.31551,0.00639
1.34,0.31666,0.01276
1.345,0.31777,0.01982
1.35,0.31885,0.0265
1.355,0.31991,0.02684
1.36,0.32095,0.0295
1.365,0.32201,0.03056
1.37,0.32309,0.03502
1.375,0.3242,0.04244
1.38,0.32535,0.04445
1.385,0.32654,0.04493
1.39,0.32778,0.04609
1.395,0.32905,0.04706
1.4,0.33036,0.04885
1.405,0.33169,0.05373
1.41,0.33303,0.05326
1.415,0.33438,0.04554
1.42,0.33573,0.04172
1.425,0.33706,0.04037
1.43,0.33838,0.04079
1.435,0.33969,0.03884
1.44,0.34097,0.04145
1.445,0.34223,0.04203
1.45,0.34346,0.04018
1.455,0.34466,0.03951
1.46,0.34581,0.03813
1.465,0.34692,0.0309
1.47,0.34799,0.019
1.475,0.34903,0.01415
1.48,0.35003,0.0109
1.485,0.35101,-0.00184
1.49,0.35198,-0.01341
1.495,0.35295,-0.02444
1.5,0.35393,-0.03515
1.505,0.35494,-0.04026
1.51,0.35599,-0.04028
1.515,0.35708,-0.04371
1.52,0.35821,-0.04703
1.525,0.3594,-0.04705
1.53,0.36064,-0.04499
1.535,0.36191,-0.04526
1.54,0.36323,-0.04616
1.545,0.36458,-0.04352
1.55,0.36595,-0.04068
1.555,0.36735,-0.03196
1.56,0.36875,-0.02141
1.565,0.37016,-0.00815
1.57,0.37155,-0.00269
1.575,0.37293,-0.00359
1.58,0.37426,-0.00162
1.585,0.37556,-0.00168
1.59,0.3768,-0.00658
1.595,0.37799,-0.01184
1.6,0.37912,-0.01821
1.605,0.38022,-0.02323
1.61,0.38128,-0.02694
1.615,0.38233,-0.03404
1.62,0.38337,-0.04386
1.625,0.38442,-0.04548
1.63,0.3855,-0.04409
1.635,0.38661,-0.03912
1.64,0.38777,-0.04152
1.645,0.38897,-0.038
1.65,0.39022,-0.03272
1.655,0.3915,-0.02728
1.66,0.39282,-0.02466
1.665,0.39416,-0.02488
1.67,0.39551,-0.02506
1.675,0.39686,-0.02837
1.68,0.39822,-0.02992
1.685,0.39956,-0.02999
1.69,0.4009,-0.02549
1.695,0.40222,-0.02337
1.7,0.40351,-0.02268
1.705,0.40477,-0.01891
1.71,0.406,-0.01008
1.715,0.40718,-0.0013
1.72,0.40832,0.00623
1.725,0.40941,0.01659
1.73,0.41045,0.02497
1.735,0.41145,0.02902
1.74,0.41243,0.02882
1.745,0.41339,0.03082
1.75,0.41434,0.03657
1.755,0.41531,0.03437
1.76,0.41629,0.03404
1.765,0.41732,0.03187
1.77,0.41838,0.03027
1.775,0.4195,0.02793
1.78,0.42066,0.021
1.785,0.42188,0.01879
1.79,0.42314,0.01071
1.795,0.42444,-0.00503
1.8,0.42577,-0.00973
1.805,0.42713,-0.00852
1.81,0.4285,-0.01026
1.815,0.42989,-0.01662
1.82,0.43129,-0.02578
1.825,0.43268,-0.03032
1.83,0.43405,-0.02995
1.835,0.4354,-0.02956
1.84,0.43671,-0.02361
1.845,0.43797,-0.02099
1.85,0.43919,-0.02004
1.855,0.44035,-0.01803
1.86,0.44147,-0.01785
1.865,0.44255,-0.01021
1.87,0.44361,-0.00218
1.875,0.44465,0.00517
1.88,0.44569,0.00862
1.885,0.44675,0.01052
1.89,0.44785,0.00645
1.895,0.44898,0.00211
1.9,0.45015,0.00135
1.905,0.45137,0.00589
1.91,0.45263,0.01657
1.915,0.45393,0.02311
1.92,0.45525,0.02685
1.925,0.45659,0.02859
1.93,0.45793,0.02762
1.935,0.45928,0.03143
1.94,0.46062,0.03203
1.945,0.46195,0.03085
1.95,0.46326,0.02809
1.955,0.46456,0.02358
1.96,0.46584,0.0231
1.965,0.46708,0.02516
1.97,0.46829,0.02822
1.975,0.46947,0.02597
1.98,0.47059,0.01902
1.985,0.47168,0.01392
1.99,0.47272,0.00934
1.995,0.47373,0.00226
2.0,0.47471,-0.00308
2.005,0.47567,-0.00697
2.01,0.47664,-0.00166
2.015,0.47762,0.00934
2.02,0.47862,0.0198
2.025,0.47967,0.02737
2.03,0.48076,0.02955
2.035,0.48189,0.03255
2.04,0.48309,0.0325
2.045,0.48433,0.03373
2.05,0.48562,0.03551
2.055,0.48694,0.03318
2.06,0.4883,0.02453
2.065,0.48969,0.0216
2.07,0.49108,0.01956
2.075,0.49249,0.01583
2.08,0.49388,0.01658
2.085,0.49527,0.01769
2.09,0.49662,0.02504
2.095,0.49794,0.02797
2.1,0.49922,0.02655
2.105,0.50044,0.02577
2.11,0.50161,0.02698
2.115,0.50274,0.02646
2.12,0.50383,0.02559
2.125,0.50489,0.02962
2.13,0.50594,0.03409
2.135,0.50698,0.04575
2.14,0.50804,0.05798
2.145,0.50913,0.06633
2.15,0.51026,0.06616
2.155,0.51142,0.05823
2.16,0.51264,0.05218
2.165,0.5139,0.04476
2.17,0.51519,0.03696
2.175,0.51652,0.03084
2.18,0.51786,0.02772
2.185,0.51922,0.02229
2.19,0.52058,0.01331
2.195,0.52193,0.00489
2.2,0.52328,0.00322
2.205,0.52462,0.005
2.21,0.52593,0.00316
2.215,0.52723,0.00479
2.22,0.5285,3e-05
2.225,0.52974,-0.01139
2.23,0.53094,-0.02374
2.235,0.53209,-0.03373
2.24,0.53319,-0.03596
2.245,0.53425,-0.03599
2.25,0.53526,-0.03473
2.255,0.53623,-0.03512
2.26,0.53719,-0.03033
2.265,0.53814,-0.02653
2.27,0.53909,-0.02891
2.275,0.54006,-0.02758
2.28,0.54107,-0.02106
2.285,0.54212,-0.01035
2.29,0.54321,0.0032
2.295,0.54436,0.00889
2.3,0.54555,0.00975
2.305,0.54679,0.0106
2.31,0.54808,0.01243
2.315,0.5494,0.0125
2.32,0.55074,0.00915
2.325,0.55211,0.01146
2.33,0.55348,0.01761
2.335,0.55486,0.02011
2.34,0.55623,0.02629
2.345,0.55758,0.03106
2.35,0.55891,0.03389
2.355,0.56021,0.04322
2.36,0.56146,0.05305
2.365,0.56266,0.05816
2.37,0.56381,0.05578
2.375,0.56493,0.05384
2.38,0.56601,0.05287
2.385,0.56707,0.05127
2.39,0.56812,0.04807
2.395,0.56918,0.0426
2.4,0.57025,0.04085
2.405,0.57136,0.04019
2.41,0.57251,0.04034
2.415,0.5737,0.03638
2.42,0.57493,0.03346
2.425,0.57621,0.03605
2.43,0.57752,0.03984
2.435,0.57886,0.03812
2.44,0.58022,0.03193
2.445,0.58158,0.02335
2.45,0.58294,0.01629
2.455,0.5843,0.00622
2.46,0.58564,0.00252
2.465,0.58698,-0.0026
2.47,0.58829,-0.00625
2.475,0.58958,-0.0084
2.48,0.59084,-0.00547
2.485,0.59206,-0.00305
2.49,0.59324,0.00023
2.495,0.59438,0.00032
2.5,0.59546,0.00602
2.505,0.5965,0.00621
2.51,0.5975,0.00571
2.515,0.59848,0.00837
2.52,0.59944,0.01291
2.525,0.60039,0.01914
2.53,0.60136,0.02376
2.535,0.60235,0.02967
2.54,0.60337,0.03203
2.545,0.60444,0.03365
2.55,0.60555,0.03843
2.555,0.60671,0.03798
2.56,0.60792,0.03
2.565,0.60918,0.02237
2.57,0.61047,0.01678
2.575,0.6118,0.0167
2.58,0.61315,0.01506
2.585,0.61452,0.01309
2.59,0.61589,0.00593
2.595,0.61726,0.00091
2.6,0.61863,-0.004
2.605,0.61998,-0.01614
2.61,0.6213,-0.03292
2.615,0.62258,-0.04377
2.62,0.62382,-0.04816
2.625,0.62501,-0.0476
2.63,0.62616,-0.04671
2.635,0.62727,-0.03835
2.64,0.62835,-0.02815
