Time,Extension,Load
0.0,0.0,-0.00687
0.005,0.0,-0.00753
0.01,0.0,-0.0112
0.015,0.0,-0.0134
0.02,1e-05,-0.00843
0.025,5e-05,0.00295
0.03,0.00012,0.01729
0.035,0.00024,0.02675
0.04,0.00039,0.03199
0.045,0.00058,0.03393
0.05,0.00081,0.03249
0.055,0.00108,0.03142
0.06,0.00139,0.02823
0.065,0.00178,0.029
0.07,0.00225,0.02897
0.075,0.00283,0.02644
0.08,0.00353,0.02282
0.085,0.00437,0.01904
0.09,0.00536,0.01963
0.095,0.00649,0.01565
0.1,0.00777,0.00984
0.105,0.00919,0.00384
0.11,0.01075,0.00451
0.115,0.01244,0.00925
0.12,0.01423,0.01929
0.125,0.01612,0.03102
0.13,0.01808,0.03601
0.135,0.02008,0.04091
0.14,0.0221,0.03985
0.145,0.0241,0.04224
0.15,0.02607,0.05089
0.155,0.02796,0.06184
0.16,0.02976,0.06667
0.165,0.03147,0.0616
0.17,0.03307,0.05598
0.175,0.03458,0.04536
0.18,0.03601,0.02747
0.185,0.0374,0.01096
0.19,0.03874,0.00423
0.195,0.04007,0.00237
0.2,0.0414,-0.00195
0.205,0.04274,-0.00368
0.21,0.04408,-0.00729
0.215,0.04544,-0.01231
0.22,0.04681,-0.01334
0.225,0.04817,-0.01028
0.23,0.04954,-0.00534
0.235,0.0509,0.0044
0.24,0.05224,0.02029
0.245,0.05358,0.03215
0.25,0.0549,0.03744
0.255,0.0562,0.03143
0.26,0.05747,0.02918
0.265,0.05871,0.0309
0.27,0.05991,0.03086
0.275,0.06106,0.03171
0.28,0.06217,0.02484
0.285,0.06323,0.02028
0.29,0.06426,0.01455
0.295,0.06526,0.00913
0.3,0.06624,0.00223
0.305,0.06722,0.0001
0.31,0.06821,0.00788
0.315,0.06923,0.01223
0.32,0.07028,0.01933
0.325,0.07137,0.02829
0.33,0.0725,0.02936
0.335,0.07369,0.03174
0.34,0.07492,0.03396
0.345,0.0762,0.03716
0.35,0.07752,0.03486
0.355,0.07888,0.02341
0.36,0.08026,0.01176
0.365,0.08166,0.00187
0.37,0.08308,-0.00215
0.375,0.08449,-0.00626
0.38,0.0859,-0.00935
0.385,0.08727,-0.00735
0.39,0.08861,-0.00132
0.395,0.0899,0.00092
0.4,0.09113,0.00688
