Time,Extension,Load
0.0,0.0,-0.02635
0.005,0.0,-0.03157
0.01,0.0,-0.03576
0.015,2e-05,-0.03557
0.02,4e-05,-0.03225
0.025,9e-05,-0.028
0.03,0.00018,-0.02353
0.035,0.00034,-0.0169
0.04,0.00057,-0.01424
0.045,0.00093,-0.01285
0.05,0.00141,-0.02173
0.055,0.00204,-0.02752
0.06,0.00283,-0.02788
0.065,0.00377,-0.02869
0.07,0.00488,-0.02982
0.075,0.00613,-0.03288
0.08,0.00752,-0.02822
0.085,0.00903,-0.01877
0.09,0.01064,-0.01067
0.095,0.01232,-0.00801
0.1,0.01406,-0.00911
0.105,0.01582,-0.0155
0.11,0.0176,-0.01959
0.115,0.01937,-0.02791
0.12,0.02112,-0.03357
0.125,0.02282,-0.03648
0.13,0.02447,-0.04222
0.135,0.02605,-0.04465
0.14,0.02754,-0.05319
0.145,0.02894,-0.06161
0.15,0.03027,-0.06978
0.155,0.03152,-0.07204
0.16,0.03271,-0.06637
0.165,0.03385,-0.06151
0.17,0.03498,-0.05274
0.175,0.0361,-0.04279
0.18,0.03723,-0.03549
0.185,0.03839,-0.02753
0.19,0.03959,-0.02353
0.195,0.04082,-0.02368
0.2,0.0421,-0.02439
0.205,0.0434,-0.02556
0.21,0.04473,-0.0292
0.215,0.04607,-0.03415
0.22,0.04742,-0.04228
0.225,0.04878,-0.04224
0.23,0.05013,-0.0394
0.235,0.05146,-0.0337
0.24,0.05279,-0.03307
0.245,0.05409,-0.03087
0.25,0.05537,-0.02529
0.255,0.05661,-0.02104
0.26,0.05782,-0.01913
0.265,0.05898,-0.01973
0.27,0.0601,-0.01648
0.275,0.06118,-0.01519
0.28,0.06221,-0.0182
0.285,0.0632,-0.01601
0.29,0.06418,-0.01262
0.295,0.06514,-0.01553
0.3,0.06611,-0.01544
0.305,0.06709,-0.01282
0.31,0.0681,-0.01384
0.315,0.06915,-0.02114
0.32,0.07025,-0.03228
0.325,0.07141,-0.03969
0.33,0.07261,-0.04727
0.335,0.07387,-0.04783
0.34,0.07517,-0.04187
0.345,0.0765,-0.03956
0.35,0.07786,-0.03912
0.355,0.07925,-0.03729
0.36,0.08065,-0.03615
0.365,0.08205,-0.03043
0.37,0.08345,-0.02558
0.375,0.08483,-0.0248
0.38,0.08619,-0.02193
0.385,0.08751,-0.02398
0.39,0.08878,-0.02549
0.395,0.09001,-0.02484
0.4,0.09118,-0.02378
0.405,0.09231,-0.02299
0.41,0.0934,-0.0257
0.415,0.09446,-0.02945
0.42,0.09551,-0.03205
0.425,0.09656,-0.03153
0.43,0.09762,-0.03406
0.435,0.09871,-0.03627
0.44,0.09984,-0.03516
0.445,0.10101,-0.03337
0.45,0.10223,-0.03533
0.455,0.10349,-0.03469
0.46,0.10478,-0.02942
0.465,0.1061,-0.02515
0.47,0.10744,-0.02287
0.475,0.10879,-0.01924
0.48,0.11013,-0.01512
0.485,0.11147,-0.0137
0.49,0.1128,-0.01376
0.495,0.11411,-0.01015
0.5,0.1154,-0.01359
0.505,0.11666,-0.02059
0.51,0.11789,-0.03521
0.515,0.11908,-0.04862
0.52,0.12023,-0.05673
0.525,0.12134,-0.0585
0.53,0.12241,-0.06294
0.535,0.12344,-0.06599
0.54,0.12443,-0.06093
0.545,0.1254,-0.05521
0.55,0.12636,-0.04462
0.555,0.12731,-0.02972
