Time,Extension,Load
0.0,0.0,-0.03977
0.005,0.0,-0.03743
0.01,0.0,-0.038
0.015,0.0,-0.03949
0.02,2e-05,-0.03697
0.025,6e-05,-0.03283
0.03,0.00015,-0.03244
0.035,0.00028,-0.04139
0.04,0.00045,-0.04642
0.045,0.00066,-0.04965
0.05,0.00092,-0.04814
0.055,0.00123,-0.04096
0.06,0.00159,-0.03508
0.065,0.00203,-0.02116
0.07,0.00257,-0.00857
0.075,0.0032,0.00605
0.08,0.00397,0.01812
0.085,0.00486,0.02789
0.09,0.00591,0.03378
0.095,0.00709,0.03152
0.1,0.00841,0.02623
0.105,0.00986,0.01979
0.11,0.01141,0.01935
0.115,0.01304,0.01419
0.12,0.01472,0.00372
0.125,0.01644,-0.00556
0.13,0.01819,-0.01122
0.135,0.01995,-0.01503
0.14,0.02174,-0.01832
0.145,0.02354,-0.01841
0.15,0.02535,-0.01188
0.155,0.02718,0.00235
0.16,0.029,0.01333
0.165,0.03081,0.01814
0.17,0.03259,0.01396
0.175,0.03435,0.00426
0.18,0.03607,-0.00567
0.185,0.03774,-0.01604
0.19,0.03936,-0.02474
0.195,0.04091,-0.02636
0.2,0.04239,-0.0234
0.205,0.04379,-0.02168
0.21,0.0451,-0.019
0.215,0.04634,-0.00832
0.22,0.0475,0.00383
0.225,0.0486,0.00808
0.23,0.04965,0.00768
0.235,0.05066,0.00699
0.24,0.05166,0.00914
0.245,0.05266,0.01071
0.25,0.05368,0.00912
0.255,0.05473,0.00484
0.26,0.05583,-0.00125
0.265,0.05697,-0.00518
0.27,0.05817,-0.01026
0.275,0.05942,-0.01068
0.28,0.06072,-0.01186
0.285,0.06206,-0.00628
0.29,0.06343,0.00595
0.295,0.06484,0.0179
0.3,0.06626,0.02685
0.305,0.06769,0.02615
0.31,0.06911,0.01779
0.315,0.07052,0.00388
0.32,0.0719,-0.00859
0.325,0.07324,-0.02036
0.33,0.07453,-0.03018
0.335,0.07576,-0.03849
0.34,0.07693,-0.04348
0.345,0.07806,-0.04924
0.35,0.07913,-0.04975
0.355,0.08018,-0.04153
0.36,0.08121,-0.02835
0.365,0.08223,-0.01728
0.37,0.08327,-0.01079
0.375,0.08433,-0.00568
0.38,0.08542,0.00017
0.385,0.08656,-0.00012
0.39,0.08775,-0.01162
0.395,0.08898,-0.03392
0.4,0.09024,-0.05543
0.405,0.09154,-0.0652
0.41,0.09286,-0.06777
0.415,0.09419,-0.06683
0.42,0.09553,-0.06014
0.425,0.09686,-0.04899
0.43,0.09819,-0.0335
0.435,0.0995,-0.02042
0.44,0.10081,-0.00767
0.445,0.10209,0.00483
0.45,0.10335,0.01249
0.455,0.10457,0.01895
0.46,0.10576,0.02048
0.465,0.10691,0.02046
0.47,0.10801,0.01569
0.475,0.10908,0.00701
0.48,0.11011,0.00186
0.485,0.11111,0.00507
0.49,0.11209,0.01316
0.495,0.11307,0.02608
0.5,0.11406,0.03703
0.505,0.11507,0.04707
0.51,0.11611,0.05529
0.515,0.11719,0.05803
0.52,0.11832,0.05036
0.525,0.1195,0.04127
