Time,Extension,Load
0.0,0.0,0.01174
0.02,1e-05,-0.01974
0.04,0.00021,-0.0085
0.06,0.00075,-0.00411
0.08,0.00195,-0.01173
0.1,0.00431,-0.03091
0.12,0.00776,-0.03835
0.14,0.01165,-0.03687
0.16,0.01517,-0.00391
0.18,0.01794,0.02711
0.2,0.02039,0.00954
0.22,0.02299,-0.02772
0.24,0.02579,-0.03339
0.26,0.02854,0.00863
0.28,0.03093,0.03323
0.3,0.03302,0.06762
0.32,0.03524,0.02221
0.34,0.03778,0.00073
0.36,0.04044,0.0149
0.38,0.04305,0.01956
0.4,0.04546,-0.00972
0.42,0.04757,0.00036
0.44,0.0496,0.00423
0.46,0.05189,-0.0205
0.48,0.05454,-0.01442
0.5,0.05733,-0.01011
0.52,0.05996,0.00105
0.54,0.0622,0.02209
0.56,0.06427,0.01802
0.58,0.06657,0.02574
0.6,0.06921,0.01114
0.62,0.07194,0.00379
0.64,0.07455,0.00969
0.66,0.07687,-0.01677
0.68,0.07886,0.00094
0.7,0.08084,0.00254
0.72,0.08315,0.01501
0.74,0.08578,-0.00995
0.76,0.08855,0.02405
0.78,0.09118,0.0112
0.8,0.09345,-0.00057
0.82,0.09557,-0.03889
0.84,0.09793,-0.03339
0.86,0.10057,-0.01002
0.88,0.10324,0.01028
0.9,0.10574,0.01303
0.92,0.10797,0.00476
0.94,0.10993,0.01201
0.96,0.11194,0.04385
0.98,0.11431,0.06491
1.0,0.11702,0.0461
1.02,0.11983,-0.00328
1.04,0.12245,-0.02963
1.06,0.12467,-0.01435
1.08,0.12677,0.01316
1.1,0.12914,0.01042
1.12,0.13178,0.01031
1.14,0.13443,0.0226
1.16,0.13694,0.01771
1.18,0.13918,-0.00029
1.2,0.14116,0.01837
1.22,0.1432,0.00122
1.24,0.14559,0.00605
1.26,0.14832,0.00195
1.28,0.15113,0.00501
1.3,0.15369,-0.00311
1.32,0.15587,-0.00509
1.34,0.15797,-0.03233
1.36,0.16037,-0.05203
1.38,0.16303,-0.02831
1.4,0.16569,-0.00496
1.42,0.16819,-0.00259
1.44,0.1704,-0.00277
1.46,0.17237,0.01968
