Time,Extension,Load
0.0,0.0,0.00949
0.005,0.0,0.00706
0.01,0.0,0.00125
0.015,0.0,-0.00585
0.02,1e-05,-0.01426
0.025,5e-05,-0.01991
0.03,0.00013,-0.02259
0.035,0.00024,-0.02575
0.04,0.00039,-0.03502
0.045,0.00058,-0.03668
0.05,0.00081,-0.02986
0.055,0.00107,-0.01921
0.06,0.00138,-0.00837
0.065,0.00175,0.00083
0.07,0.00218,0.00691
0.075,0.00271,0.00627
0.08,0.00334,0.00919
0.085,0.00408,0.01228
0.09,0.00495,0.01381
0.095,0.00594,0.01635
0.1,0.00709,0.01401
0.105,0.00838,0.0105
0.11,0.00982,0.01168
0.115,0.01141,0.01381
0.12,0.01313,0.01223
0.125,0.01498,0.01219
0.13,0.01693,0.01661
0.135,0.01895,0.01718
0.14,0.02103,0.00991
0.145,0.02313,-0.00245
0.15,0.02521,-0.01233
0.155,0.02725,-0.01862
0.16,0.02921,-0.01867
0.165,0.03108,-0.01308
0.17,0.03284,-0.00462
0.175,0.03449,0.00422
0.18,0.03604,0.00788
0.185,0.0375,0.01135
0.19,0.0389,0.01191
0.195,0.04026,0.01233
0.2,0.04159,0.01156
0.205,0.04291,0.01659
0.21,0.04423,0.02524
0.215,0.04555,0.03075
0.22,0.04688,0.03096
0.225,0.04821,0.02902
0.23,0.04955,0.02542
0.235,0.05089,0.02002
0.24,0.05222,0.01515
0.245,0.05355,0.00362
0.25,0.05487,-0.00753
0.255,0.05617,-0.0144
0.26,0.05746,-0.0121
0.265,0.05872,-0.00933
0.27,0.05996,-0.00958
0.275,0.06116,-0.00985
0.28,0.06231,-0.00833
0.285,0.06343,-0.00016
0.29,0.0645,0.00784
0.295,0.06553,0.01365
0.3,0.06654,0.01322
0.305,0.06754,0.01394
0.31,0.06853,0.01323
0.315,0.06953,0.0122
0.32,0.07055,0.00984
0.325,0.0716,0.00271
0.33,0.0727,-0.00764
0.335,0.07384,-0.0199
0.34,0.07503,-0.02186
0.345,0.07627,-0.02637
0.35,0.07755,-0.029
0.355,0.07887,-0.02455
0.36,0.08023,-0.02301
0.365,0.0816,-0.02169
0.37,0.08299,-0.02406
0.375,0.08439,-0.02434
0.38,0.08579,-0.01646
0.385,0.08717,-0.01195
0.39,0.08853,-0.01115
0.395,0.08985,-0.00841
0.4,0.09112,-0.00832
0.405,0.09234,-0.01002
0.41,0.09351,-0.00333
0.415,0.09463,0.00284
0.42,0.09571,0.01456
0.425,0.09675,0.02475
0.43,0.09779,0.02966
0.435,0.09882,0.02508
0.44,0.09986,0.01813
0.445,0.10094,0.01281
0.45,0.10205,0.01168
0.455,0.10321,0.00684
0.46,0.10441,0.00164
0.465,0.10566,-0.00242
0.47,0.10695,-0.00364
0.475,0.10828,-0.00254
0.48,0.10962,-0.00077
0.485,0.11098,-0.00396
0.49,0.11234,-0.00662
0.495,0.1137,-0.00964
0.5,0.11505,-0.01238
0.505,0.11638,-0.01569
0.51,0.1177,-0.01825
0.515,0.11899,-0.02075
0.52,0.12025,-0.02722
0.525,0.12147,-0.03025
0.53,0.12266,-0.02858
0.535,0.12381,-0.02319
