Time ,Extension ,Load 
0,0.000297793,0.00069981
0.100006104,-0.022513152,0.000662268
0.199996948,-0.046455709,0.000676529
0.300003052,-0.070517381,0.000369708
0.399993896,-0.094400384,0.000810766
0.5,-0.118521617,0.000641055
0.600006104,-0.142464167,0.001508499
0.699996948,-0.166466285,0.000654999
0.800003052,-0.190468403,0.001163984
0.899993896,-0.214470521,0.000558862
1,-0.238472639,0.001338595
1.100006104,-0.262474758,0.001233695
1.199996948,-0.286417315,0.00060599
1.300003052,-0.310478994,0.00109146
1.399993896,-0.334421551,0.001236454
1.5,-0.35848323,0.001320764
1.600006104,-0.382425787,0.000917546
1.699996948,-0.406547013,0.001095616
1.800003052,-0.43048957,0.001004063
1.899993896,-0.454432127,0.000926559
2,-0.478493806,0.000549915
2.100006104,-0.50249591,0.000692753
2.199996948,-0.526498014,-2.28E-05
2.300003052,-0.550500175,0.000800314
2.399993896,-0.574502279,0.000439744
2.5,-0.598504383,0.000233918
2.600006104,-0.622506486,0.001125223
2.699996948,-0.646449043,0.001139383
2.800003052,-0.670451147,0.000878351
2.899993896,-0.694453309,0.001043406
3,-0.718455412,0.0005504
3.100006104,-0.742457516,0.000546466
3.199996948,-0.76645962,0.001238268
3.300003052,-0.790461723,0.000438369
3.399993896,-0.814404339,0.000998063
3.5,-0.838465989,0.000953103
3.600006104,-0.862527639,0.000697963
3.699996948,-0.886470196,0.000946105
3.800003052,-0.910472358,0.000669863
3.899993896,-0.934534008,0.000861628
4,-0.958476565,0.000982374
4.100006104,-0.982478727,0.000495409
4.199996948,-1.006540377,0.001070668
4.300003052,-1.030542422,0.000418463
4.399993896,-1.054544584,0.000729893
4.5,-1.078487141,0.000295405
4.600006104,-1.102489303,0.000240846
4.699996948,-1.126491348,0.00048602
4.800003052,-1.15049351,0.001536975
4.899993896,-1.174495555,0.000230737
5,-1.198438113,0.000384372
5.100006104,-1.222499879,0.000338952
5.199996948,-1.246442436,0.000750443
5.300003052,-1.270444482,8.67E-05
5.399993896,-1.294446643,0.000546866
5.5,-1.318389201,0.000607719
5.600006104,-1.342510455,0.000544174
5.699996948,-1.366453012,0.000476542
5.800003052,-1.390514662,0.001298166
5.899993896,-1.41445722,0.000654521
6,-1.43851887,0.00027711
6.100006104,-1.462461427,0.00036277
6.199996948,-1.486463589,0.000579575
6.300003052,-1.510465634,0.000550766
6.399993896,-1.534586889,0.000100127
6.5,-1.558469958,0.00028037
6.600006104,-1.582531608,0.000487177
6.699996948,-1.606474165,-0.000298765
6.800003052,-1.630535815,0.000353805
6.899993896,-1.654418767,-0.00058235
7,-1.678480534,-0.000371
7.100006104,-1.702482579,-0.001096721
7.199996948,-1.726484741,-0.000852473
7.300003052,-1.750427298,-0.001254551
7.399993896,-1.774429344,-0.000330405
7.5,-1.79849111,-0.000833271
7.600006104,-1.822493155,-0.000543907
7.699996948,-1.846435713,-0.001590207
7.800003052,-1.870497479,-0.001154222
7.899993896,-1.894499524,-0.001029943
8,-1.918501686,-0.001289993
8.100006104,-1.942503732,-0.002565192
8.199996948,-1.966505777,-0.00208681
8.300003052,-1.990508055,-0.002404464
8.399993896,-2.014510101,-0.002266915
8.5,-2.038452774,-0.001863974
8.600006104,-2.062514424,-0.002327508
8.699996948,-2.08651647,-0.00288557
8.800003052,-2.11057812,-0.002649635
8.899993896,-2.134461189,-0.003412427
9,-2.158463234,-0.002605057
9.100006104,-2.182524884,-0.003494045
9.199996948,-2.206467558,-0.003322227
9.300003052,-2.230469603,-0.003452557
9.399993896,-2.254471648,-0.003574426
9.5,-2.278533299,-0.00395564
9.600006104,-2.302475972,-0.003558285
9.699996948,-2.326418413,-0.003740903
9.800003052,-2.350480296,-0.003980774
9.899993896,-2.374482341,-0.004872291
10,-2.398543991,-0.004273531
10.1000061,-2.422546037,-0.004809521
10.19999695,-2.446548315,-0.004403791
10.30000305,-2.47055036,-0.005189363
10.3999939,-2.494492801,-0.004701786
10.5,-2.518495079,-0.004626886
10.6000061,-2.542556729,-0.005555114
10.69999695,-2.56649917,-0.005739024
10.80000305,-2.590501448,-0.006037037
10.8999939,-2.614443889,-0.006100422
11,-2.638445934,-0.006580306
11.1000061,-2.662388608,-0.006005015
11.19999695,-2.686450258,-0.006887513
11.30000305,-2.710452303,-0.006837349
11.3999939,-2.734454582,-0.006229931
11.5,-2.758516232,-0.008193271
11.6000061,-2.782399068,-0.006778197
11.69999695,-2.806460951,-0.007092293
11.80000305,-2.830522601,-0.007319709
11.8999939,-2.854465041,-0.006749005
12,-2.878467087,-0.007745283
12.1000061,-2.902469365,-0.006979044
12.19999695,-2.926411806,-0.008138989
12.30000305,-2.95053306,-0.008112449
12.3999939,-2.974475734,-0.00796247
12.5,-2.998477779,-0.008676683
12.6000061,-3.022479825,-0.008342155
12.69999695,-3.046541475,-0.009131838
12.80000305,-3.070484148,-0.009303543
12.8999939,-3.094545798,-0.009782948
13,-3.118547844,-0.009528735
13.1000061,-3.142490517,-0.010407729
13.19999695,-3.166432958,-0.010541161
13.30000305,-3.190494608,-0.011510309
13.3999939,-3.214437282,-0.010909679
13.5,-3.238498932,-0.01118268
13.6000061,-3.262441372,-0.01171115
13.69999695,-3.286562627,-0.011539939
13.80000305,-3.310445696,-0.012084629
13.8999939,-3.334447742,-0.012083463
14,-3.35845002,-0.012243799
14.1000061,-3.38251167,-0.012055747
14.19999695,-3.406513715,-0.012763579
14.30000305,-3.430456389,-0.01331643
14.3999939,-3.454518039,-0.013595903
14.5,-3.478520084,-0.013721684
14.6000061,-3.50252213,-0.013837568
14.69999695,-3.526524408,-0.014518566
14.80000305,-3.550526453,-0.015135125
14.8999939,-3.574588103,-0.015163967
15,-3.598530777,-0.014630451
15.1000061,-3.622473218,-0.015151865
15.19999695,-3.646534868,-0.015869997
15.30000305,-3.670477541,-0.015821063
15.3999939,-3.694479587,-0.016580584
15.5,-3.718481632,-0.016851938
15.6000061,-3.74248391,-0.016027706
15.69999695,-3.766485956,-0.016948679
15.80000305,-3.790428396,-0.017793966
15.8999939,-3.814490046,-0.016784464
16,-3.83843272,-0.017754044
16.1000061,-3.862553975,-0.018361589
16.19999695,-3.886496415,-0.018144257
16.30000305,-3.910498694,-0.019119106
16.3999939,-3.934500739,-0.020216953
16.5,-3.958562389,-0.019619589
16.6000061,-3.98250483,-0.01957818
16.69999695,-4.006506875,-0.020456812
16.80000305,-4.030509386,-0.020924656
16.8999939,-4.054511432,-0.02132296
17,-4.078453872,-0.020517027
17.1000061,-4.102455918,-0.020598753
17.19999695,-4.126517568,-0.021815796
17.30000305,-4.150519613,-0.02126598
17.3999939,-4.17446252,-0.022678829
17.5,-4.19840496,-0.02258161
17.6000061,-4.22246661,-0.022749531
17.69999695,-4.24652826,-0.0233678
17.80000305,-4.270470701,-0.023323841
17.8999939,-4.294413142,-0.02466041
18,-4.318475258,-0.023151342
18.1000061,-4.342417698,-0.024505676
18.19999695,-4.366419744,-0.023542738
18.30000305,-4.390421789,-0.02431835
18.3999939,-4.414543044,-0.024583441
18.5,-4.438545089,-0.026302258
18.6000061,-4.462547135,-0.025343349
18.69999695,-4.486490041,-0.025604877
18.80000305,-4.510551691,-0.02617193
18.8999939,-4.534494132,-0.025580004
19,-4.558496177,-0.026275925
19.1000061,-4.582438618,-0.026351187
19.19999695,-4.606500268,-0.026850155
19.30000305,-4.630502779,-0.026975254
19.3999939,-4.654385615,-0.026720299
19.5,-4.678447265,-0.027370457
19.6000061,-4.702508915,-0.028351727
19.69999695,-4.726451356,-0.028373995
19.80000305,-4.750453401,-0.028762619
19.8999939,-4.774455912,-0.029628967
20,-4.798517562,-0.029157093
20.1000061,-4.822460003,-0.030148218
20.19999695,-4.846462049,-0.029785986
20.30000305,-4.870464094,-0.030275703
20.3999939,-4.894525744,-0.030213148
20.5,-4.918527789,-0.030525908
20.6000061,-4.942470696,-0.03183139
20.69999695,-4.966532346,-0.032124451
20.80000305,-4.990593996,-0.031662653
20.8999939,-5.014476832,-0.03319696
21,-5.038478877,-0.032609692
21.1000061,-5.062480923,-0.033768738
21.19999695,-5.086542573,-0.033185452
21.30000305,-5.110485479,-0.033644573
21.3999939,-5.134487525,-0.034426785
21.5,-5.15848957,-0.034372318
21.6000061,-5.182491615,-0.033848438
21.69999695,-5.206493661,-0.035712105
21.80000305,-5.230436567,-0.036202385
21.8999939,-5.254498217,-0.03651321
22,-5.278500263,-0.03707806
22.1000061,-5.302442703,-0.037044968
22.19999695,-5.326444749,-0.037264751
22.30000305,-5.350446794,-0.037636475
22.3999939,-5.374568049,-0.037288399
22.5,-5.39851049,-0.038224667
22.6000061,-5.422513001,-0.038583031
22.69999695,-5.446515046,-0.038887665
22.80000305,-5.470576696,-0.039414486
22.8999939,-5.494519137,-0.040350952
23,-5.518521182,-0.039880592
23.1000061,-5.542523228,-0.040067493
23.19999695,-5.566525739,-0.040545025
23.30000305,-5.590468179,-0.041146103
23.3999939,-5.614470225,-0.0426577
23.5,-5.638531875,-0.042400669
23.6000061,-5.662474316,-0.042408554
23.69999695,-5.686476361,-0.043156609
23.80000305,-5.710478872,-0.042996952
23.8999939,-5.734480917,-0.043425426
24,-5.758482963,-0.042861225
24.1000061,-5.782485008,-0.043841183
24.19999695,-5.806487054,-0.042696133
24.30000305,-5.830548704,-0.043501911
24.3999939,-5.854432005,-0.043942417
24.5,-5.87855326,-0.044909481
24.6000061,-5.902495701,-0.044617378
24.69999695,-5.926557351,-0.043581635
24.80000305,-5.950499792,-0.044441059
24.8999939,-5.974501837,-0.045173195
25,-5.998503882,-0.044073704
25.1000061,-6.022565532,-0.045742939
25.19999695,-6.046508439,-0.045446072
25.30000305,-6.070510484,-0.045015873
25.3999939,-6.094452925,-0.045809288
25.5,-6.118514575,-0.046214127
25.6000061,-6.142397411,-0.046743275
25.69999695,-6.166459527,-0.046369534
25.80000305,-6.190401968,-0.046987679
25.8999939,-6.214523222,-0.047697395
26,-6.238406058,-0.047798225
26.1000061,-6.262467708,-0.047575306
26.19999695,-6.286469754,-0.04774823
26.30000305,-6.310531404,-0.047768757
26.3999939,-6.334414706,-0.047714489
26.5,-6.358476356,-0.047648354
26.6000061,-6.382478401,-0.048957115
26.69999695,-6.406540051,-0.048994022
26.80000305,-6.430542096,-0.048111259
26.8999939,-6.454544142,-0.048231651
27,-6.478546187,-0.048884869
27.1000061,-6.502548698,-0.049197662
27.19999695,-6.526431534,-0.049682625
27.30000305,-6.550493184,-0.049994186
27.3999939,-6.574554835,-0.048461731
27.5,-6.598497275,-0.049896442
27.6000061,-6.622499321,-0.0494146
27.69999695,-6.646501832,-0.049686859
27.80000305,-6.670503877,-0.050242867
27.8999939,-6.694505922,-0.049772579
28,-6.718448363,-0.050451447
28.1000061,-6.742450409,-0.050758564
28.19999695,-6.766512059,-0.050514725
28.30000305,-6.790454965,-0.052034931
28.3999939,-6.81445701,-0.052069298
28.5,-6.838459056,-0.051855564
28.6000061,-6.862580311,-0.05228376
28.69999695,-6.886463147,-0.052004608
28.80000305,-6.910465192,-0.053498852
28.8999939,-6.934467237,-0.053105518
29,-6.958529353,-0.052911739
29.1000061,-6.982531399,-0.053809914
29.19999695,-7.006473839,-0.053758472
29.30000305,-7.030535489,-0.054002285
29.3999939,-7.05447793,-0.053884369
29.5,-7.078479975,-0.054720554
29.6000061,-7.102541625,-0.056044434
29.69999695,-7.126484532,-0.055275913
29.80000305,-7.150546182,-0.056060162
29.8999939,-7.174429018,-0.056268532
30,-7.198431063,-0.056111496
30.1000061,-7.222433109,-0.053377953
30.19999695,-7.246494759,-0.054596882
30.30000305,-7.270437665,-0.054516239
30.3999939,-7.294499315,-0.056851654
30.5,-7.318441756,-0.057255901
30.6000061,-7.342503406,-0.056325146
30.69999695,-7.366445847,-0.056609192
30.80000305,-7.390447892,-0.056569416
30.8999939,-7.414450403,-0.056938671
31,-7.438571658,-0.057217392
31.1000061,-7.462454494,-0.057479267
31.19999695,-7.486516144,-0.058302013
31.30000305,-7.510458585,-0.057978344
31.3999939,-7.534520235,-0.058806599
31.5,-7.558403537,-0.058279377
31.6000061,-7.582405582,-0.058058464
31.69999695,-7.606467232,-0.059586456
31.80000305,-7.630469278,-0.059604244
31.8999939,-7.654411718,-0.059878708
32,-7.678413764,-0.059686054
32.1000061,-7.702416275,-0.059680477
32.19999695,-7.726477925,-0.060300957
32.30000305,-7.750420365,-0.060626362
32.3999939,-7.774482016,-0.060552185
32.5,-7.798484061,-0.060886696
32.6000061,-7.822486572,-0.061039459
32.69999695,-7.846488617,-0.061745991
32.80000305,-7.870490663,-0.061274078
32.8999939,-7.894492708,-0.061264835
33,-7.918494754,-0.061769714
33.1000061,-7.942496799,-0.062146461
33.19999695,-7.966498844,-0.06326123
33.30000305,-7.990560494,-0.062983944
33.3999939,-8.014502935,-0.063228088
33.5,-8.038445376,-0.062763332
