Time ,Extension,Load
0,0.002473316,0.000656906
0.099975,0.024165514,0.001073667
0.199951,0.049466322,0.00039276
0.300049,0.074604941,0.000638876
0.400024,0.099459743,0.000387227
0.5,0.124436177,0.000689262
0.599975,0.149128799,0.00093598
0.699951,0.173294306,5.81E-05
0.800049,0.19754091,0.000995871
0.900024,0.221746974,0.001466679
1,0.245912495,0.000681858
1.099975,0.270037446,0.001047773
1.199951,0.294121885,0.000747022
1.300049,0.318206294,0.000793955
1.400024,0.342250161,0.000657189
1.5,0.366091321,0.000727417
1.599975,0.390216301,5.84E-05
1.699951,0.41430071,0.00084853
1.800049,0.438060757,0.000182497
1.900024,0.462226279,0.000656528
2,0.486432342,0.000557523
2.099975,0.510395097,0.0003837
2.199951,0.534357911,0.000360308
2.300049,0.558320666,0.000432757
2.400024,0.582242908,0.000415476
2.5,0.606286805,0.001006209
2.599975,0.630046823,0.000636893
2.699951,0.654252886,0.001134123
2.800049,0.67845895,0.000389269
2.900024,0.702219026,0.00077444
3,0.726262922,0.000915083
3.099975,0.750347332,0.00064094
3.199951,0.774269574,0.000238207
3.300049,0.798353984,0.000598448
3.400024,0.82239788,0.000515432
3.5,0.846401206,0.00045877
3.599975,0.870445045,-1.18E-06
3.699951,0.894326775,0.000630284
3.800049,0.918330101,-8.62E-06
3.900024,0.942373939,0.000625709
4,0.966174528,0.000198879
4.099975,0.990258995,0.000474246
4.199951,1.014424488,0.001304085
4.300049,1.03830616,0.00030323
4.400024,1.062309486,0.000347876
4.5,1.086353441,0.000439752
4.599975,1.110275625,0.00057819
4.699951,1.134238439,-2.49E-06
4.800049,1.158201136,0.000396688
4.900024,1.182285603,0.000360345
5,1.206410583,0.000391824
5.099975,1.23021123,0.000587777
5.199951,1.254295581,0.000816122
5.300049,1.27833942,0.000278657
5.400024,1.302180579,0.000391928
5.5,1.326224534,0.000647913
5.599975,1.350390026,0.000205228
5.699951,1.374271698,-0.000589321
5.800049,1.398315537,0.000416234
5.900024,1.422318863,-3.87E-05
6,1.446322189,-7.66E-05
6.099975,1.470366144,0.000863909
6.199951,1.494126162,0.000892181
6.300049,1.518251142,0.000902599
6.400024,1.542376122,0.000355644
6.5,1.566217281,-0.000180774
6.599975,1.590342261,0.000646436
6.699951,1.614426612,-4.68E-06
6.800049,1.638227259,0.00069475
6.900024,1.662271097,0.00107294
7,1.686314936,0.00093096
