Time,Extension,Load
0,0,-0.02499
0.02,1.00E-05,-0.04124
0.04,0.0002,-0.07292
0.06,0.00075,-0.05884
0.08,0.00191,-0.05384
0.1,0.00415,-0.04062
0.12,0.00744,-0.03026
0.14,0.01128,-0.05308
0.16,0.01489,-0.07406
0.18,0.01792,-0.08159
0.2,0.02075,-0.07488
0.22,0.02357,-0.05585
0.24,0.02633,-0.0447
0.26,0.02887,-0.0448
0.28,0.03102,-0.04242
0.3,0.03297,-0.05843
0.32,0.0351,-0.05585
0.34,0.03761,-0.06448
0.36,0.04033,-0.07286
0.38,0.04301,-0.0573
0.4,0.0454,-0.03669
0.42,0.04753,-0.02827
0.44,0.04973,-0.0178
0.46,0.05224,-0.03319
0.48,0.0549,-0.05457
0.5,0.05751,-0.06456
0.52,0.05995,-0.08139
0.54,0.06207,-0.05251
0.56,0.06405,-0.01799
0.58,0.06625,-0.00115
0.6,0.0688,-0.01414
0.62,0.07153,-0.0166
0.64,0.0742,-0.02389
0.66,0.07658,-0.03641
0.68,0.07871,-0.02538
0.7,0.08097,-0.00903
0.72,0.08355,-0.00929
0.74,0.08627,-7.00E-05
0.76,0.08892,-0.01762
0.78,0.09132,-0.02902
0.8,0.09338,-0.02573
0.82,0.09533,-0.04253
0.84,0.09756,-0.0432
0.86,0.10014,-0.04975
0.88,0.10287,-0.03888
0.9,0.1055,-0.05018
0.92,0.10782,-0.03892
0.94,0.10995,-0.00198
0.96,0.11223,-0.02952
0.98,0.11481,-0.05512
1,0.1175,-0.0515
1.02,0.1201,-0.0334
1.04,0.12248,-0.00895
1.06,0.12453,-0.0074
1.08,0.12653,-0.02469
1.1,0.12881,-0.01773
1.12,0.13142,-0.02368
1.14,0.13416,-0.05888
1.16,0.13676,-0.04103
1.18,0.13903,-0.04767
1.2,0.14113,-0.04266
1.22,0.14344,-0.03226
1.24,0.14608,-0.03949
1.26,0.14879,-0.05574
1.28,0.15136,-0.0511
1.3,0.15364,-0.05569
1.32,0.15563,-0.0504
1.34,0.15763,-0.0588
1.36,0.15995,-0.03998
1.38,0.16261,-0.00975
1.4,0.16538,-0.0182
1.42,0.168,-0.01843
1.44,0.17028,-0.02751
1.46,0.17239,-0.06466
1.48,0.17471,-0.04738
1.5,0.1773,-0.02506
1.52,0.17997,-0.02472
1.54,0.18253,-0.05122
1.56,0.18485,-0.0445
1.58,0.18687,-0.03435
1.6,0.1889,-0.06064
1.62,0.19127,-0.05706
1.64,0.19395,-0.05519
1.66,0.1967,-0.06999
1.68,0.19925,-0.06826
1.7,0.20144,-0.02704
1.72,0.20353,-0.03628
1.74,0.20589,-0.06075
1.76,0.20853,-0.08104
1.78,0.21122,-0.06578
1.8,0.2138,-0.03341
1.82,0.21608,-0.04557
1.84,0.21806,-0.05758
1.86,0.22006,-0.07131
1.88,0.22239,-0.05118
1.9,0.22505,-0.05327
1.92,0.2278,-0.04223
1.94,0.23036,-0.06891
1.96,0.23258,-0.07182
1.98,0.2347,-0.05311
2,0.23709,-0.02241
2.02,0.23973,-0.02182
2.04,0.24241,-0.02753
2.06,0.24493,-0.03651
2.08,0.24713,-0.04237
2.1,0.24908,-0.04141
2.12,0.25114,-0.04286
2.14,0.25358,-0.02851
2.16,0.25631,-0.0172
2.18,0.25908,-0.02533
2.2,0.26161,-0.04023
2.22,0.26379,-0.06157
2.24,0.26592,-0.07344
2.26,0.26833,-0.0906
2.28,0.27096,-0.08567
2.3,0.27356,-0.06369
2.32,0.27602,-0.06917
2.34,0.27822,-0.05625
2.36,0.28022,-0.02748
2.38,0.28235,-0.03049
2.4,0.28484,-0.04264
2.42,0.28761,-0.03495
2.44,0.29039,-0.00986
2.46,0.29287,-0.03353
2.48,0.29499,-0.05093
2.5,0.2971,-0.03771
2.52,0.29952,-0.02649
2.54,0.30217,-0.0037
2.56,0.3048,0.02464
2.58,0.30728,0.00544
2.6,0.30948,-0.04873
2.62,0.31147,-0.04742
2.64,0.31362,-0.08913
2.66,0.31613,-0.09588
2.68,0.31885,-0.082
2.7,0.32154,-0.04946
2.72,0.32396,-0.03261
2.74,0.3261,-0.02481
2.76,0.32829,-0.03613
2.78,0.3308,-0.0149
2.8,0.3335,0.00369
2.82,0.33615,0.00621
2.84,0.33858,-0.02225
2.86,0.34068,-0.06066
2.88,0.34262,-0.04959
2.9,0.34476,-0.03254
2.92,0.3473,-0.04837
2.94,0.35007,-0.02083
2.96,0.35282,0.00085
2.98,0.35525,0.00919
3,0.35737,0.01562
3.02,0.35956,0.01316
3.04,0.36208,-0.00682
3.06,0.36475,-0.04013
3.08,0.36735,-0.04077
3.1,0.36971,-0.03378
3.12,0.37177,-0.04425
3.14,0.37373,-0.01862
3.16,0.37595,-0.02488
3.18,0.37853,-0.03528
3.2,0.3813,-0.01561
3.22,0.38401,-0.04215
3.24,0.38642,-0.0301
3.26,0.38854,-0.04044
3.28,0.39072,-0.04656
3.3,0.39319,-0.0184
3.32,0.39581,-0.02236
3.34,0.3984,-0.04387
3.36,0.4008,-0.03938
3.38,0.40291,-0.01121
3.4,0.40492,-0.02182
3.42,0.40717,-0.03127
3.44,0.40978,-0.05744
3.46,0.41256,-0.03777
3.48,0.41522,-0.03057
3.5,0.4175,-0.07083
3.52,0.41955,-0.04721
3.54,0.42177,-0.02974
3.56,0.42436,-0.03739
3.58,0.4271,-0.03967
3.6,0.42975,-0.06272
3.62,0.43213,-0.03565
3.64,0.43417,-0.05053
3.66,0.43612,-0.03869
3.68,0.43834,-0.00477
3.7,0.44093,0.01236
3.72,0.44368,0.00579
3.74,0.44635,-0.01053
3.76,0.44868,-0.02102
3.78,0.45079,-0.02912
3.8,0.4531,-0.04609
3.82,0.45572,-0.06003
3.84,0.45842,-0.08738
3.86,0.46099,-0.02878
3.88,0.46328,-0.00287
3.9,0.46526,0.00155
3.92,0.46722,-0.03152
3.94,0.46949,-0.054
3.96,0.47214,-0.04003
3.98,0.47497,-0.01988
4,0.47765,-0.04754
4.02,0.47993,-0.03405
4.04,0.48202,-0.02263
4.06,0.48432,-0.03045
4.08,0.48692,-0.04721
4.1,0.48958,-0.03449
4.12,0.49212,-0.03917
4.14,0.49443,-0.05997
