Time,Extension,Load,
0,0,-0.07782,
0.02,1.00E-05,-0.06055,
0.04,0.00022,-0.0472,
0.06,0.00081,-0.05046,
0.08,0.00207,-0.061,
0.1,0.00444,-0.07467,
0.12,0.00778,-0.06919,
0.14,0.01138,-0.05175,
0.16,0.01473,-0.04838,
0.18,0.01793,-0.02388,
0.2,0.02097,0.01442,
0.22,0.02377,0.02861,
0.24,0.02621,0.02954,
0.26,0.02828,0.04525,
0.28,0.03032,0.04036,
0.3,0.03271,0.05206,
0.32,0.03541,0.07863,
0.34,0.03817,0.0502,
0.36,0.04071,0.02621,
0.38,0.04291,0.04519,
0.4,0.04506,0.05199,
0.42,0.0475,0.02925,
0.44,0.05018,0.02633,
0.46,0.05285,0.05333,
0.48,0.05537,0.07533,
0.5,0.05757,0.06514,
0.52,0.05951,0.06997,
0.54,0.06153,0.03745,
0.56,0.0639,0.01938,
0.58,0.06656,0.01475,
0.6,0.06928,0.04596,
0.62,0.0718,0.07896,
0.64,0.07402,0.10156,
0.66,0.0762,0.0709,
0.68,0.07863,0.06055,
0.7,0.08129,0.06284,
0.72,0.08394,0.06935,
0.74,0.08645,0.09348,
0.76,0.08869,0.09911,
0.78,0.09067,0.09094,
0.8,0.09277,0.06932,
0.82,0.0952,0.08031,
0.84,0.09788,0.11991,
0.86,0.1006,0.12369,
0.88,0.10307,0.12823,
0.9,0.10525,0.13701,
0.92,0.10745,0.11565,
0.94,0.10994,0.08735,
0.96,0.11263,0.13257,
0.98,0.11528,0.14934,
1,0.11774,0.10599,
1.02,0.11989,0.09847,
1.04,0.12184,0.1226,
1.06,0.12396,0.13341,
1.08,0.12645,0.13491,
1.1,0.12917,0.11904,
1.12,0.13187,0.14748,
1.14,0.13429,0.16273,
1.16,0.13644,0.17831,
1.18,0.13865,0.17699,
1.2,0.14116,0.18168,
1.22,0.14383,0.22625,
1.24,0.14646,0.15276,
1.26,0.14892,0.12063,
1.28,0.15107,0.12722,
1.3,0.15305,0.16073,
1.32,0.15522,0.18436,
1.34,0.15773,0.15928,
1.36,0.16044,0.1485,
1.38,0.16311,0.15686,
1.4,0.1655,0.18237,
1.42,0.16763,0.20116,
1.44,0.16985,0.20325,
1.46,0.17239,0.22617,
1.48,0.17509,0.21826,
1.5,0.17772,0.19009,
1.52,0.18013,0.15138,
1.54,0.1822,0.19715,
1.56,0.18415,0.21825,
1.58,0.18634,0.20535,
1.6,0.18891,0.23284,
1.62,0.19166,0.29967,
1.64,0.19434,0.30336,
1.66,0.19673,0.3088,
1.68,0.19888,0.31874,
1.7,0.20112,0.32604,
1.72,0.20365,0.29317,
1.74,0.2063,0.25657,
1.76,0.2089,0.26833,
1.78,0.2113,0.3064,
1.8,0.2134,0.34481,
1.82,0.2154,0.32847,
1.84,0.21764,0.33601,
1.86,0.22024,0.31647,
1.88,0.22299,0.32041,
1.9,0.22564,0.34787,
1.92,0.22794,0.37034,
1.94,0.23003,0.35075,
1.96,0.23229,0.36112,
1.98,0.23487,0.34756,
2,0.23756,0.35509,
2.02,0.24017,0.38418,
2.04,0.24255,0.39203,
2.06,0.24459,0.35344,
2.08,0.24655,0.36807,
2.1,0.24878,0.369,
2.12,0.25137,0.37544,
2.14,0.25411,0.41796,
2.16,0.25676,0.40819,
2.18,0.25908,0.38485,
2.2,0.26122,0.3213,
2.22,0.2635,0.28606,
2.24,0.26607,0.31032,
2.26,0.26874,0.29794,
2.28,0.27131,0.31467,
2.3,0.27364,0.32751,
2.32,0.27566,0.34351,
2.34,0.27765,0.39369,
2.36,0.27996,0.42158,
2.38,0.28261,0.42269,
2.4,0.28538,0.41268,
2.42,0.288,0.43647,
