Time,Extension,Load
0,0,0.05111
0.02,1.00E-05,0.04759
0.04,0.00021,0.03737
0.06,0.00076,0.03552
0.08,0.00191,0.0636
0.1,0.00408,0.05805
0.12,0.00725,0.06509
0.14,0.01072,0.06464
0.16,0.01403,0.09076
0.18,0.01727,0.06717
0.2,0.02047,0.05946
0.22,0.0234,0.05996
0.24,0.02585,0.0505
0.26,0.02813,0.03651
0.28,0.03064,0.03576
0.3,0.03338,0.051
0.32,0.03608,0.05328
0.34,0.03854,0.05684
0.36,0.04064,0.06892
0.38,0.04255,0.08366
0.4,0.04465,0.10595
0.42,0.04714,0.11523
0.44,0.0499,0.10803
0.46,0.05269,0.09987
0.48,0.05517,0.10287
0.5,0.0573,0.10115
0.52,0.05948,0.0962
0.54,0.06198,0.08182
0.56,0.06463,0.05916
0.58,0.06722,0.06134
0.6,0.06963,0.06812
0.62,0.07174,0.08768
0.64,0.07372,0.08901
0.66,0.07589,0.07236
0.68,0.07843,0.0507
0.7,0.08121,0.07296
0.72,0.08395,0.06364
0.74,0.08634,0.05921
0.76,0.08843,0.06674
0.78,0.09062,0.08641
0.8,0.09315,0.07047
0.82,0.09586,0.0532
0.84,0.09851,0.03995
0.86,0.10092,0.06407
0.88,0.103,0.10963
0.9,0.10495,0.11204
0.92,0.10713,0.10736
0.94,0.10968,0.11761
0.96,0.11242,0.10626
0.98,0.1151,0.04749
1,0.11746,0.07028
1.02,0.11957,0.10497
1.04,0.12182,0.11282
1.06,0.1244,0.08327
1.08,0.12711,0.0736
1.1,0.12972,0.08552
1.12,0.1321,0.07692
1.14,0.13414,0.04265
1.16,0.13608,0.05199
1.18,0.13832,0.09043
1.2,0.14092,0.07947
1.22,0.14368,0.09132
1.24,0.14634,0.07584
1.26,0.14866,0.09837
1.28,0.15078,0.10145
1.3,0.1531,0.09222
1.32,0.15575,0.08834
1.34,0.15846,0.088
1.36,0.16104,0.09652
1.38,0.16335,0.08717
1.4,0.16534,0.08466
1.42,0.1673,0.08269
1.44,0.16955,0.09352
1.46,0.17216,0.084
1.48,0.17492,0.07068
1.5,0.17756,0.10373
1.52,0.17986,0.1128
1.54,0.18198,0.08803
1.56,0.1843,0.04913
1.58,0.18689,0.0456
1.6,0.18957,0.08441
1.62,0.19216,0.09332
1.64,0.19448,0.08585
1.66,0.1965,0.0713
1.68,0.19848,0.03715
1.7,0.20077,0.0373
1.72,0.2034,0.04578
1.74,0.20614,0.06498
1.76,0.20872,0.05907
1.78,0.21096,0.06877
1.8,0.21307,0.08874
1.82,0.21541,0.07347
1.84,0.21806,0.05239
1.86,0.22077,0.04368
1.88,0.22335,0.06027
1.9,0.22563,0.09464
1.92,0.22761,0.11697
1.94,0.2296,0.12264
1.96,0.23193,0.11412
1.98,0.23458,0.12161
2,0.23731,0.10355
2.02,0.23987,0.09697
2.04,0.2421,0.10037
2.06,0.24424,0.09633
2.08,0.24663,0.11111
2.1,0.24928,0.07522
2.12,0.25197,0.07937
2.14,0.25453,0.0921
2.16,0.2568,0.10477
2.18,0.25878,0.11156
2.2,0.26081,0.10243
2.22,0.26319,0.10426
2.24,0.26586,0.13537
2.26,0.26861,0.15602
2.28,0.27115,0.16255
2.3,0.27335,0.14093
2.32,0.27548,0.09651
2.34,0.27789,0.09039
2.36,0.28056,0.09134
2.38,0.28324,0.10561
2.4,0.28576,0.10941
2.42,0.28796,0.14296
2.44,0.28991,0.13586
2.46,0.29198,0.14347
2.48,0.29442,0.16328
2.5,0.29714,0.16791
2.52,0.29991,0.13857
2.54,0.30243,0.1391
2.56,0.30461,0.13176
2.58,0.30672,0.13525
2.6,0.3091,0.12035
2.62,0.31171,0.09574
2.64,0.31436,0.07285
2.66,0.3169,0.07689
2.68,0.31915,0.11752
2.7,0.32115,0.12849
2.72,0.32326,0.1288
2.74,0.32572,0.12029
2.76,0.32843,0.11586
2.78,0.33114,0.1155
2.8,0.33359,0.12607
2.82,0.33571,0.14811
2.84,0.33785,0.15183
2.86,0.34031,0.13146
2.88,0.34297,0.13962
2.9,0.34563,0.09976
2.92,0.34814,0.08905
2.94,0.35033,0.09606
2.96,0.35227,0.11668
2.98,0.35436,0.13647
3,0.35682,0.12337
3.02,0.35954,0.12571
3.04,0.36227,0.11645
3.06,0.36474,0.10754
3.08,0.36689,0.11378
3.1,0.36908,0.12668
3.12,0.37155,0.13669
3.14,0.3742,0.14539
3.16,0.37683,0.14016
3.18,0.37926,0.12448
3.2,0.38137,0.10331
3.22,0.3833,0.11484
3.24,0.38546,0.12771
3.26,0.38802,0.12482
3.28,0.39081,0.14225
3.3,0.39357,0.14244
3.32,0.39599,0.15339
3.34,0.39809,0.14382
3.36,0.40026,0.12293
3.38,0.40274,0.11411
3.4,0.40539,0.1372
3.42,0.40799,0.11988
3.44,0.41042,0.11306
3.46,0.41254,0.11661
3.48,0.41453,0.13946
3.5,0.41675,0.13421
3.52,0.41934,0.09713
3.54,0.42213,0.09368
3.56,0.42483,0.10262
3.58,0.42717,0.12081
3.6,0.42923,0.14865
3.62,0.43141,0.17281
3.64,0.43392,0.15887
3.66,0.43659,0.13528
3.68,0.43923,0.1225
3.7,0.44166,0.10513
3.72,0.44377,0.10261
3.74,0.44575,0.13156
3.76,0.44797,0.16302
3.78,0.45055,0.16735
3.8,0.45329,0.15717
3.82,0.45595,0.15792
3.84,0.45828,0.11635
3.86,0.4604,0.14654
3.88,0.46269,0.17432
3.9,0.46528,0.18316
3.92,0.46799,0.15774
3.94,0.47058,0.13235
3.96,0.47289,0.13365
3.98,0.47489,0.13921
4,0.47685,0.13843
4.02,0.47912,0.15532
4.04,0.48176,0.12729
4.06,0.48457,0.08155
4.08,0.48724,0.10741
4.1,0.48953,0.17007
4.12,0.49163,0.1604
4.14,0.49392,0.11997
4.16,0.49652,0.10276
4.18,0.49918,0.11667
4.2,0.50173,0.14871
4.22,0.504,0.13722
4.24,0.50599,0.13731
4.26,0.50798,0.12031
4.28,0.51031,0.14625
4.3,0.513,0.17515
4.32,0.51582,0.18041
4.34,0.51848,0.15211
4.36,0.52075,0.14595
4.38,0.52282,0.1683
4.4,0.52508,0.15184
4.42,0.52764,0.13381
4.44,0.5303,0.13783
4.46,0.53286,0.14044
4.48,0.53518,0.16119
