Time,Extension,Load
0,0,0.03626
0.005,0,0.03002
0.01,0,0.01932
0.015,0,0.00541
0.02,2.00E-05,-0.00426
0.025,6.00E-05,-0.00646
0.03,0.00014,-0.00456
0.035,0.00026,0.00021
0.04,0.00043,0.00324
0.045,0.00064,0.00571
0.05,0.0009,0.00705
0.055,0.00121,0.00836
0.06,0.00159,0.01543
0.065,0.00205,0.02613
0.07,0.00263,0.04089
0.075,0.00332,0.051
0.08,0.00415,0.05812
0.085,0.00512,0.06471
0.09,0.00621,0.07456
0.095,0.00743,0.08027
0.1,0.00874,0.07948
0.105,0.01013,0.07224
0.11,0.01159,0.05821
0.115,0.0131,0.04246
0.12,0.01465,0.02957
0.125,0.01625,0.01744
0.13,0.01789,0.00829
0.135,0.01956,0.0027
0.14,0.02127,0.0006
0.145,0.02301,0.00688
0.15,0.02477,0.02006
0.155,0.02655,0.02229
0.16,0.02833,0.02138
0.165,0.03011,0.02554
0.17,0.03188,0.02993
0.175,0.03361,0.03003
0.18,0.0353,0.02488
0.185,0.03693,0.01903
0.19,0.03848,0.01348
0.195,0.03995,0.00968
0.2,0.04133,0.00582
0.205,0.04264,0.0021
0.21,0.04389,0.00132
0.215,0.04509,0.00491
0.22,0.04626,0.01021
0.225,0.04743,0.0202
0.23,0.04861,0.02685
0.235,0.04981,0.0286
0.24,0.05104,0.02675
0.245,0.0523,0.01881
0.25,0.0536,0.00955
0.255,0.05492,0.00551
0.26,0.05627,0.00411
0.265,0.05763,0.00194
0.27,0.05899,0.00006
0.275,0.06036,-0.00362
0.28,0.06171,-0.00188
0.285,0.06306,0.00062
0.29,0.0644,0.00695
0.295,0.06571,0.00905
0.3,0.067,0.00783
0.305,0.06825,0.00485
0.31,0.06946,0.00023
0.315,0.07062,-0.0038
0.32,0.07174,-0.00378
0.325,0.07282,-0.00708
0.33,0.07386,-0.00686
0.335,0.07487,-0.00499
0.34,0.07587,-0.0027
0.345,0.07686,-0.00059
0.35,0.07786,0.00291
0.355,0.07888,0.00351
0.36,0.07994,0.00682
0.365,0.08104,0.01388
0.37,0.08218,0.01659
0.375,0.08338,0.02063
0.38,0.08462,0.01645
0.385,0.0859,0.01236
0.39,0.08722,0.01872
0.395,0.08858,0.0312
0.4,0.08995,0.03954
0.405,0.09134,0.03947
0.41,0.09274,0.04123
0.415,0.09414,0.03897
0.42,0.09552,0.03262
0.425,0.09688,0.02613
0.43,0.0982,0.01814
0.435,0.09948,0.01668
0.44,0.10071,0.0169
0.445,0.10188,0.01481
0.45,0.103,0.01037
0.455,0.10409,0.00956
0.46,0.10513,0.01295
0.465,0.10617,0.02037
0.47,0.1072,0.03098
0.475,0.10824,0.04293
0.48,0.10931,0.05261
0.485,0.11042,0.05279
0.49,0.11157,0.04474
0.495,0.11278,0.03262
0.5,0.11403,0.02037
0.505,0.11532,0.01074
0.51,0.11665,0.00472
0.515,0.118,-0.00794
0.52,0.11936,-0.01457
0.525,0.12073,-0.01951
0.53,0.1221,-0.01665
0.535,0.12346,-0.00399
0.54,0.1248,0.00954
0.545,0.12612,0.02501
0.55,0.12742,0.03213
0.555,0.12869,0.03234
0.56,0.12992,0.03215
0.565,0.13111,0.03348
0.57,0.13226,0.03139
0.575,0.13336,0.02704
0.58,0.13442,0.02226
0.585,0.13544,0.01463
0.59,0.13643,0.01089
0.595,0.1374,0.01008
0.6,0.13837,0.00743
0.605,0.13935,0.00283
0.61,0.14034,0.00119
0.615,0.14137,0.00262
0.62,0.14243,0.00138
0.625,0.14354,-0.00233
0.63,0.14469,-0.00258
0.635,0.1459,0.00529
0.64,0.14715,0.00765
0.645,0.14845,0.00623
0.65,0.14978,0.00378
0.655,0.15113,0.00471
0.66,0.15251,0.00195
0.665,0.15391,-0.00475
0.67,0.15531,-0.0019
0.675,0.15671,0.00049
0.68,0.1581,-0.00047
0.685,0.15946,-0.00419
0.69,0.16078,-0.0001
0.695,0.16205,0.00226
