Time,Extension,Load
0,0,-0.01868
0.005,0,-0.01705
0.01,1.00E-05,-0.01324
0.015,3.00E-05,-0.00828
0.02,6.00E-05,-0.00257
0.025,0.00012,0.00215
0.03,0.00023,0.00511
0.035,0.00039,0.00744
0.04,0.00064,0.01794
0.045,0.00099,0.02583
0.05,0.00146,0.02475
0.055,0.00207,0.01409
0.06,0.00282,-0.00223
0.065,0.00372,-0.01858
0.07,0.00477,-0.03149
0.075,0.00596,-0.03875
0.08,0.00728,-0.0455
0.085,0.00873,-0.04807
0.09,0.01027,-0.04576
0.095,0.01191,-0.04367
0.1,0.01362,-0.03738
0.105,0.01537,-0.02906
0.11,0.01716,-0.02205
0.115,0.01895,-0.01636
0.12,0.02074,-0.01299
0.125,0.0225,-0.00976
0.13,0.02422,-0.0096
0.135,0.02587,-0.00863
0.14,0.02745,-0.00402
0.145,0.02894,0.00319
0.15,0.03034,0.00574
0.155,0.03165,0.00568
0.16,0.03289,0.00018
0.165,0.03408,-0.01342
0.17,0.03522,-0.02594
0.175,0.03633,-0.03323
0.18,0.03745,-0.04094
0.185,0.03858,-0.03814
0.19,0.03973,-0.02733
0.195,0.04092,-0.01241
0.2,0.04215,0.00038
0.205,0.04341,0.00567
0.21,0.04471,0.00956
0.215,0.04603,0.00775
0.22,0.04737,0.00357
0.225,0.04871,1.00E-05
0.23,0.05006,-3.00E-05
0.235,0.0514,-0.00661
0.24,0.05273,-0.00803
0.245,0.05404,-0.00494
0.25,0.05533,-7.00E-05
0.255,0.05659,0.00513
0.26,0.05782,0.00888
0.265,0.05901,0.00806
0.27,0.06015,-0.00067
0.275,0.06125,-0.00743
0.28,0.0623,-0.0122
0.285,0.06332,-0.01304
0.29,0.0643,-0.01091
0.295,0.06527,-0.00657
0.3,0.06623,-0.00569
0.305,0.0672,-0.00575
0.31,0.0682,-0.00266
0.315,0.06922,0.00194
0.32,0.07029,0.00489
0.325,0.0714,0.00284
0.33,0.07257,0.00367
0.335,0.07378,0.00281
0.34,0.07505,-0.0006
0.345,0.07636,-0.00106
0.35,0.0777,-0.00104
0.355,0.07907,0.00392
0.36,0.08046,0.00811
0.365,0.08187,0.01104
0.37,0.08328,0.01619
0.375,0.08468,0.021
0.38,0.08607,0.03104
0.385,0.08743,0.04246
0.39,0.08875,0.05088
0.395,0.09002,0.04929
0.4,0.09124,0.04143
0.405,0.09241,0.03637
0.41,0.09352,0.03154
0.415,0.0946,0.02811
0.42,0.09565,0.02185
0.425,0.09669,0.00908
0.43,0.09772,-0.00437
0.435,0.09877,-0.01502
0.44,0.09985,-0.01468
0.445,0.10097,-0.01117
0.45,0.10213,-0.00454
0.455,0.10333,0.00175
0.46,0.10457,0.00523
0.465,0.10585,0.00835
0.47,0.10715,0.02059
0.475,0.10848,0.03011
0.48,0.10981,0.02989
0.485,0.11115,0.0249
0.49,0.11249,0.02386
0.495,0.11382,0.02727
0.5,0.11514,0.02789
0.505,0.11644,0.0325
0.51,0.11772,0.0365
0.515,0.11897,0.03883
0.52,0.12018,0.03862
0.525,0.12136,0.04109
0.53,0.12249,0.03849
0.535,0.12358,0.03786
0.54,0.12462,0.03635
0.545,0.12563,0.0304
0.55,0.12662,0.02545
0.555,0.12759,0.01819
0.56,0.12857,0.00648
0.565,0.12955,-0.001
0.57,0.13056,-0.00212
0.575,0.1316,-0.00332
0.58,0.13269,0.0016
0.585,0.13382,0.01019
0.59,0.13501,0.0123
0.595,0.13624,0.01438
0.6,0.13751,0.01839
0.605,0.13883,0.02157
0.61,0.14018,0.02366
0.615,0.14155,0.02431
0.62,0.14293,0.01993
0.625,0.14433,0.01126
0.63,0.14572,0.00279
0.635,0.14709,-0.00073
0.64,0.14844,-0.00301
0.645,0.14976,-0.00245
0.65,0.15104,-0.00519
0.655,0.15226,-0.00693
0.66,0.15343,-0.00508
0.665,0.15456,-0.005
0.67,0.15564,-0.00338
0.675,0.15669,-0.00745
0.68,0.15772,-0.01687
0.685,0.15875,-0.01984
0.69,0.15979,-0.01859
0.695,0.16085,-0.01292
0.7,0.16195,-0.00869
0.705,0.1631,-0.00363
0.71,0.16429,0.005
0.715,0.16553,0.01138
0.72,0.16682,0.01957
0.725,0.16814,0.02061
0.73,0.16949,0.02178
0.735,0.17085,0.02617
0.74,0.17223,0.0262
0.745,0.1736,0.02735
0.75,0.17497,0.02719
0.755,0.17632,0.02667
0.76,0.17766,0.02273
0.765,0.17897,0.01975
0.77,0.18026,0.01782
0.775,0.18151,0.02208
0.78,0.18272,0.02399
0.785,0.18388,0.02543
0.79,0.185,0.01682
0.795,0.18607,0.00944
0.8,0.1871,0.00825
0.805,0.18809,0.00488
0.81,0.18906,0.00137
0.815,0.19002,0.00049
0.82,0.19098,-0.00147
0.825,0.19195,-0.0012
0.83,0.19296,0.00787
0.835,0.194,0.01642
0.84,0.19508,0.01973
0.845,0.19622,0.02398
0.85,0.19741,0.02864
0.855,0.19864,0.03367
0.86,0.19992,0.04233
0.865,0.20124,0.05166
0.87,0.20258,0.05455
0.875,0.20396,0.05604
0.88,0.20535,0.04836
0.885,0.20675,0.03718
0.89,0.20815,0.02333
0.895,0.20954,0.01079
0.9,0.21091,0.00283
0.905,0.21224,-0.00369
0.91,0.21354,-0.00535
0.915,0.21478,-0.00644
0.92,0.21597,0.00157
0.925,0.2171,0.00552
0.93,0.2182,0.0108
0.935,0.21926,0.01476
0.94,0.22031,0.02083
0.945,0.22135,0.02341
0.95,0.22241,0.02212
0.955,0.22349,0.02077
0.96,0.22461,0.01517
0.965,0.22578,0.01349
0.97,0.22699,0.01538
0.975,0.22825,0.01883
0.98,0.22955,0.01879
0.985,0.23088,0.01845
0.99,0.23223,0.01571
0.995,0.23359,0.0119
1,0.23495,0.01709
1.005,0.2363,0.02336
1.01,0.23764,0.02436
1.015,0.23896,0.02142
1.02,0.24026,0.01803
1.025,0.24152,0.01528
1.03,0.24276,0.01166
1.035,0.24395,0.00714
1.04,0.24511,0.00681
1.045,0.24622,0.01008
1.05,0.24729,0.01037
1.055,0.24832,0.00719
1.06,0.24932,-0.00051
1.065,0.25028,-0.00449
1.07,0.25124,-0.00581
1.075,0.25219,-0.01156
1.08,0.25315,-0.01394
1.085,0.25414,-0.01111
1.09,0.25516,-0.00169
1.095,0.25623,0.00531
1.1,0.25735,0.009
1.105,0.25852,0.0114
1.11,0.25974,0.00821
1.115,0.26101,0.00372
1.12,0.26232,-0.00156
1.125,0.26367,-0.0054
1.13,0.26504,-0.00261
1.135,0.26644,0.00698
1.14,0.26786,0.01313
1.145,0.26927,0.01338
1.15,0.27068,0.0141
1.155,0.27208,0.01058
1.16,0.27344,0.00442
1.165,0.27476,-0.00871
1.17,0.27604,-0.02088
1.175,0.27725,-0.02677
1.18,0.27842,-0.02963
1.185,0.27953,-0.03369
1.19,0.28059,-0.04127
1.195,0.28164,-0.03801
1.2,0.28267,-0.03688
1.205,0.28371,-0.03426
1.21,0.28477,-0.03112
1.215,0.28585,-0.02908
1.22,0.28698,-0.03403
1.225,0.28816,-0.03481
1.23,0.28937,-0.03122
1.235,0.29064,-0.02593
1.24,0.29193,-0.0165
1.245,0.29326,-0.00878
1.25,0.2946,-0.00546
1.255,0.29595,-0.00278
1.26,0.2973,0.00489
1.265,0.29864,0.01657
1.27,0.29997,0.0286
1.275,0.30129,0.03469
1.28,0.30258,0.03536
1.285,0.30385,0.03738
1.29,0.30509,0.04061
1.295,0.30629,0.04429
1.3,0.30746,0.04363
1.305,0.30858,0.03909
1.31,0.30965,0.03803
1.315,0.31069,0.03746
1.32,0.3117,0.03194
1.325,0.31269,0.02822
1.33,0.31366,0.02546
1.335,0.31463,0.02198
1.34,0.31561,0.02542
1.345,0.31662,0.02624
1.35,0.31766,0.0258
1.355,0.31874,0.02424
1.36,0.31987,0.02096
1.365,0.32106,0.02528
1.37,0.32229,0.03122
1.375,0.32357,0.03598
1.38,0.32489,0.04149
1.385,0.32624,0.0429
1.39,0.32763,0.03533
1.395,0.32904,0.02342
1.4,0.33046,0.01129
1.405,0.33188,-0.00506
1.41,0.33329,-0.01672
1.415,0.33468,-0.02436
1.42,0.33603,-0.02385
1.425,0.33733,-0.02716
1.43,0.33858,-0.03023
1.435,0.33977,-0.0317
1.44,0.3409,-0.03194
1.445,0.34199,-0.03151
1.45,0.34304,-0.02756
1.455,0.34407,-0.01981
1.46,0.34509,-0.01182
1.465,0.34613,-0.00018
1.47,0.34719,0.00839
1.475,0.34829,0.02052
