Time,Extension,Load
0.0,0.0,0.01692
0.005,0.0,0.01649
0.01,0.0,0.01394
0.015,0.0,0.0199
0.02,2e-05,0.02326
0.025,6e-05,0.02481
0.03,0.00015,0.0206
0.035,0.00027,0.01622
0.04,0.00044,0.011
0.045,0.00066,0.00547
0.05,0.00091,0.00256
0.055,0.0012,-0.00287
0.06,0.00154,-0.00427
0.065,0.00194,-0.00412
0.07,0.00242,0.00486
0.075,0.00299,0.0132
0.08,0.00367,0.02002
0.085,0.00447,0.02444
0.09,0.00539,0.02202
0.095,0.00645,0.01928
0.1,0.00764,0.02001
0.105,0.00897,0.02419
0.11,0.01045,0.02652
0.115,0.01205,0.02805
0.12,0.01378,0.03355
0.125,0.01561,0.03838
0.13,0.01754,0.03655
0.135,0.01953,0.02419
0.14,0.02155,0.0131
0.145,0.02358,-0.00094
0.15,0.02558,-0.00718
0.155,0.02753,-0.0099
0.16,0.0294,-0.00725
0.165,0.03118,0.00486
0.17,0.03286,0.01563
0.175,0.03445,0.01718
0.18,0.03596,0.01253
0.185,0.03741,0.01283
0.19,0.03881,0.00922
0.195,0.04019,0.00178
0.2,0.04156,-0.0009
0.205,0.04291,-0.00846
0.21,0.04427,-0.01091
0.215,0.04562,-0.00876
0.22,0.04698,-0.00263
0.225,0.04832,0.00436
0.23,0.04967,0.01594
0.235,0.05101,0.02566
0.24,0.05235,0.02981
0.245,0.05367,0.03124
0.25,0.05498,0.03296
0.255,0.05627,0.03777
0.26,0.05752,0.03778
0.265,0.05874,0.03938
0.27,0.05992,0.03357
0.275,0.06104,0.02452
0.28,0.06212,0.02313
0.285,0.06316,0.02442
0.29,0.06416,0.01821
0.295,0.06514,0.00608
0.3,0.06612,0.00233
0.305,0.0671,0.00022
0.31,0.06811,-0.00571
0.315,0.06915,-0.01197
0.32,0.07024,-0.01035
0.325,0.07137,-0.00651
0.33,0.07256,-0.00518
0.335,0.0738,0.0019
0.34,0.07507,-0.00202
0.345,0.07639,-0.00107
0.35,0.07773,0.00544
0.355,0.0791,0.01144
0.36,0.08048,0.01801
0.365,0.08187,0.01637
0.37,0.08326,0.01437
0.375,0.08464,0.01218
0.38,0.086,0.01571
0.385,0.08734,0.01902
0.39,0.08863,0.01898
0.395,0.08989,0.01576
0.4,0.09109,0.00807
0.405,0.09225,-0.00144
0.41,0.09336,-0.01314
0.415,0.09444,-0.02254
0.42,0.0955,-0.02187
0.425,0.09654,-0.01635
0.43,0.0976,-0.01708
0.435,0.09867,-0.0244
0.44,0.09977,-0.02842
0.445,0.10091,-0.0233
0.45,0.1021,-0.01768
