Time,Extension,Load
0.0,0.0,0.00525
0.005,0.0,0.00303
0.01,1e-05,-0.00072
0.015,3e-05,0.00079
0.02,7e-05,0.00835
0.025,0.00013,0.01559
0.03,0.00024,0.01739
0.035,0.00042,0.01394
0.04,0.00069,0.01808
0.045,0.00107,0.02786
0.05,0.00158,0.04201
0.055,0.00224,0.04932
0.06,0.00308,0.05374
0.065,0.00408,0.06081
0.07,0.00524,0.06242
0.075,0.00656,0.06692
0.08,0.00802,0.06966
0.085,0.00958,0.07442
0.09,0.01121,0.06887
0.095,0.01288,0.05721
0.1,0.01454,0.04482
0.105,0.01618,0.02679
0.11,0.01778,0.0145
0.115,0.01932,0.00785
0.12,0.02082,0.00348
0.125,0.02227,0.00746
0.13,0.0237,0.01094
0.135,0.02511,0.01317
0.14,0.02652,0.01003
0.145,0.02793,0.00621
0.15,0.02935,0.00693
0.155,0.03078,0.01501
0.16,0.03222,0.02096
0.165,0.03365,0.02588
0.17,0.03508,0.03138
0.175,0.0365,0.03581
0.18,0.03791,0.04335
0.185,0.0393,0.04906
0.19,0.04066,0.05181
0.195,0.04199,0.0499
0.2,0.04329,0.04877
0.205,0.04454,0.05133
0.21,0.04574,0.05483
0.215,0.04689,0.05475
0.22,0.04798,0.04931
0.225,0.04903,0.03997
0.23,0.05004,0.02918
0.235,0.05102,0.01667
0.24,0.05198,0.01182
0.245,0.05294,0.01053
0.25,0.05392,0.01204
0.255,0.05492,0.01458
0.26,0.05595,0.02113
0.265,0.05702,0.0231
0.27,0.05814,0.02404
0.275,0.05931,0.01945
0.28,0.06053,0.01954
0.285,0.0618,0.01771
0.29,0.06311,0.00778
0.295,0.06445,-0.0008
0.3,0.06582,-0.0048
0.305,0.06721,-0.00033
0.31,0.06862,0.00628
0.315,0.07003,0.01022
0.32,0.07143,0.01275
0.325,0.07281,0.01864
0.33,0.07416,0.02075
0.335,0.07546,0.01192
0.34,0.07671,0.00747
0.345,0.07791,0.00349
0.35,0.07905,-0.00196
0.355,0.08015,-0.00694
